chemical_compound,chemical_structure,classification,physical_properties,linked_sg_pollutant,year,classification_encoded_scaled,classification_encoded_scaled,physical_properties_encoded_scaled,linked_sg_pollutant_encoded_scaled,C_scaled,H_scaled,O_scaled,N_scaled,Cl_scaled,Br_scaled,S_scaled,carbon_chain_length_scaled,hydrogen_count_scaled,oxygen_count_scaled,halogen_count_scaled,is_halogenated_scaled,is_chlorinated_scaled,is_brominated_scaled,has_oxygen_scaled,CH_ratio_scaled,molecular_size_proxy_scaled,degree_of_unsaturation_scaled,compound_risk_index_scaled,compound_count_scaled,avg_carbon_chain_scaled,avg_halogen_count_scaled,pct_halogenated_scaled,pct_gas_phase_scaled,avg_mol_size_scaled,avg_unsaturation_scaled,sg_avg_concentration_scaled,sg_max_concentration_scaled,compound_density_per_unit_conc_scaled,pollution_composite_index_scaled,industry_pressure_index_scaled,vehicle_norm_scaled,env_pressure_score_scaled,year_index_scaled,pm10_scaled,pm25_scaled,chemical_manufacturing_scaled,electronics_mfg_scaled,vehicle_population_scaled,hdb_construction_units_scaled,chain_vs_group_avg_scaled,size_vs_group_avg_scaled,unsat_vs_group_avg_scaled,halogen_x_concentration_scaled,chain_x_concentration_scaled,conc_vs_sg_avg_scaled,conc_vs_sg_max_pct_scaled,pollutant_concentration,classification_encoded,classification_encoded,is_env_relevant
sulfuric acid,H2SO4,acid,liquid,sulphur_dioxide,2011,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02500000000000001,0.8974358974358974,0.8199052132701422,0.8421052631578947,1.0000000000000018,0.9999999999999999,0.9999999999999999,0.14238042269187984,0.5416319359844066,0.810027147230405,0.20621521091091358,0.21822461331540013,0.08515737687658567,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.0,0.023844751206789028,0.02777777777777778,0.0,0.0,0.5786314525810322,0.625,13.0,0,0,0
sulfuric acid,H2SO4,acid,liquid,sulphur_dioxide,2012,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02500000000000001,0.8974358974358974,0.8199052132701422,0.8421052631578947,1.0000000000000018,0.9999999999999999,0.9999999999999999,0.14238042269187984,0.5416319359844066,0.810027147230405,0.20621521091091358,0.21822461331540013,0.08515737687658567,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.0,0.023844751206789028,0.02777777777777778,0.0,0.0,0.545018007202881,0.5249999999999999,12.6,0,0,0
sulfuric acid,H2SO4,acid,liquid,sulphur_dioxide,2013,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02500000000000001,0.8974358974358974,0.8199052132701422,0.8421052631578947,1.0000000000000018,0.9999999999999999,0.9999999999999999,0.14238042269187984,0.5416319359844066,0.810027147230405,0.20621521091091358,0.21822461331540013,0.08515737687658567,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.0,0.023844751206789028,0.02777777777777778,0.0,0.0,0.6458583433373348,0.8250000000000002,13.8,0,0,0
sulfuric acid,H2SO4,acid,liquid,sulphur_dioxide,2014,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02500000000000001,0.8974358974358974,0.8199052132701422,0.8421052631578947,1.0000000000000018,0.9999999999999999,0.9999999999999999,0.14238042269187984,0.5416319359844066,0.810027147230405,0.20621521091091358,0.21822461331540013,0.08515737687658567,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.0,0.023844751206789028,0.02777777777777778,0.0,0.0,0.7046818727490994,1.0,14.5,0,0,0
methanol,CH3OH,alchohol,liquid,ozone,2008,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.08573770491803279,0.26890756302520974,0.4829918032786886,52.3,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2009,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.08049180327868853,0.0,0.2928278688524588,49.1,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2010,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.08967213114754098,0.4705882352941178,0.6256147540983608,54.7,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2011,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.09377049180327869,0.6806722689075633,0.7741803278688524,57.2,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2012,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.09163934426229509,0.5714285714285713,0.6969262295081964,55.9,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2013,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.09573770491803278,0.7815126050420167,0.8454918032786884,58.4,1,1,0
methanol,CH3OH,alchohol,liquid,ozone,2014,0.125,0.125,0.5,0.6666666666666666,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,0.1,0.02564102564102564,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.02500000000000001,0.8974358974358974,0.8222748815165877,0.3157894736842106,0.2500743383883428,0.0,0.0,0.38030560271646857,0.2847272513749979,0.813188750771401,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.09789550072568941,0.031577042058842875,0.02777777777777778,0.0,0.1,1.0,1.0,61.0,1,1,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2008,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.19999999999999998,0.03809868579828429,0.0,0.0,0.09180327868852459,0.34933973589435763,0.4048507462686568,28.0,3,3,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2009,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.19999999999999998,0.03809868579828429,0.0,0.0,0.08688524590163935,0.22328931572629035,0.2425373134328357,26.5,3,3,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2010,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.19999999999999998,0.03809868579828429,0.0,0.0,0.09770491803278689,0.5006002400960383,0.5996268656716417,29.8,3,3,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2011,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.19999999999999998,0.03809868579828429,0.0,0.0,0.10229508196721311,0.6182472989195676,0.7511194029850743,31.2,3,3,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2012,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.19999999999999998,0.03809868579828429,0.0,0.0,0.10065573770491804,0.5762304921968786,0.6970149253731344,30.7,3,3,0
